title,url,property_type,address,district,city,area_text,bedrooms,bathrooms,price_text,posted_at
Cực đẹp phố cổ | 57m2 x 2 tầng | Mặt tiền 4m | Bán mặt phố Yên Thái,https://mogi.vn/quan-hoan-kiem/mua-nha-mat-tien-pho/cuc-dep-pho-co-57m2-x-2-tang-mat-tien-4m-ban-mat-pho-yen-thai-id22732249,nha_mat_pho,"Quận Hoàn Kiếm, Hà Nội",Quận Hoàn Kiếm,Hà Nội,57 m2,2,2,43 tỷ,Hôm nay
Hàng hiếm | Mặt phố Hà Trung | 60m2 x 5 tầng | MT 4m | Giá chỉ 60 tỷ,https://mogi.vn/quan-hoan-kiem/mua-nha-mat-tien-pho/hang-hiem-mat-pho-ha-trung-60m2-x-5-tang-mt-4m-gia-chi-60-ty-id22732252,nha_mat_pho,"Quận Hoàn Kiếm, Hà Nội",Quận Hoàn Kiếm,Hà Nội,60 m2,5,5,60 tỷ,Hôm nay
Hàng đẹp | Mặt phố Dương Văn Bé | 61m2 | Mặt tiền 7m | Giá chỉ 33 tỷ,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/hang-dep-mat-pho-duong-van-be-61m2-mat-tien-7m-gia-chi-33-ty-id22733127,nha_mat_pho,"Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Hà Nội,61 m2,6,6,33 tỷ,Hôm nay
Hàng hiếm | Mặt phố Minh Khai | 45m2 x 6 tầng | MT 3.5m | Giá 28 tỷ,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/hang-hiem-mat-pho-minh-khai-45m2-x-6-tang-mt-3-5m-gia-28-ty-id22732272,nha_mat_pho,"Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Hà Nội,45 m2,6,5,28 tỷ,Hôm nay
Hiếm | Mặt phố Lê Thanh Nghị | 62m2 x 5 tầng | MT 5.5m | Giá còn 35 tỷ,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/hiem-mat-pho-le-thanh-nghi-62m2-x-5-tang-mt-5-5m-gia-con-35-ty-id22733320,nha_mat_pho,"Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Hà Nội,62 m2,4,4,35 tỷ,Hôm nay
Siêu phẩm Mặt phố Hoàng Mai | 40m2 x  7 tầng | MT 4.2m | Chỉ 18.8 tỷ,https://mogi.vn/quan-hoang-mai/mua-nha-mat-tien-pho/sieu-pham-mat-pho-hoang-mai-40m2-x-7-tang-mt-4-2m-chi-18-8-ty-id22733748,nha_mat_pho,"Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Hà Nội,40 m2,5,6,18 tỷ 800 triệu,Hôm nay
Lô góc | Mặt phố Đông Các | 55m2 | Mặt tiền 6.5m | Giá chỉ 31.5 tỷ,https://mogi.vn/quan-dong-da/mua-nha-mat-tien-pho/lo-goc-mat-pho-dong-cac-55m2-mat-tien-6-5m-gia-chi-31-5-ty-id22735455,nha_mat_pho,"Quận Đống Đa, Hà Nội",Quận Đống Đa,Hà Nội,55 m2,4,4,31 tỷ 500 triệu,Hôm nay
Bán tầng 1 | Mặt phố Nguyễn Hiền | 150m2 | MT 5m | Giá 12 tỷ,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-tang-1-mat-pho-nguyen-hien-150m2-mt-5m-gia-12-ty-id22735813,nha_mat_pho,"Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Hà Nội,150 m2,3,3,12 tỷ,Hôm nay
Siêu đẹp | Mặt phố Cát Linh | 30m2 X 7 tầng | MT 3.8m | Giá chỉ 24 tỷ,https://mogi.vn/quan-dong-da/mua-nha-mat-tien-pho/sieu-dep-mat-pho-cat-linh-30m2-x-7-tang-mt-3-8m-gia-chi-24-ty-id22725998,nha_mat_pho,"Quận Đống Đa, Hà Nội",Quận Đống Đa,Hà Nội,30 m2,5,6,24 tỷ,Hôm nay
Bán mặt phố Lê Văn Linh | 45m2 | Mặt tiền 4.2m | Giá 49.5 tỷ,https://mogi.vn/quan-hoan-kiem/mua-nha-mat-tien-pho/ban-mat-pho-le-van-linh-45m2-mat-tien-4-2m-gia-49-5-ty-id22725997,nha_mat_pho,"Quận Hoàn Kiếm, Hà Nội",Quận Hoàn Kiếm,Hà Nội,45 m2,4,4,49 tỷ 500 triệu,Hôm nay
Bán mặt phố Hồ Tùng Mậu | 65m2 x 9 tầng | MT 5m | Giá chỉ 39 tỷ,https://mogi.vn/quan-cau-giay/mua-nha-mat-tien-pho/ban-mat-pho-ho-tung-mau-65m2-x-9-tang-mt-5m-gia-chi-39-ty-id22726032,nha_mat_pho,"Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Hà Nội,65 m2,8,8,39 tỷ,Hôm nay
