area,district,property_type,price,listing_type,price_text
100.0,Huyện Thạch Thất,khac,4300000000,ban,"4,3 tỷ"
574.0,Quận Ba Đình,dat,220000000000,ban,220 tỷ
36.0,Quận Long Biên,dat,6200000000,ban,"6,2 tỷ"
115.0,Huyện Đông Anh,khac,8000000000,ban,8 tỷ
88.0,Huyện Chương Mỹ,dat,1650000000,ban,"1,65 tỷ"
40.0,Huyện Thanh Trì,dat,2500000000,ban,"2,5 tỷ"
43.0,Quận Nam Từ Liêm,dat,6500000000,ban,"6,5 tỷ"
33.0,Quận Nam Từ Liêm,dat,6200000000,ban,"6,2 tỷ"
37.0,Quận Nam Từ Liêm,dat,6000000000,ban,6 tỷ
90.0,Quận Tây Hồ,dat,25500000000,ban,"25,5 tỷ"
100.0,Huyện Thạch Thất,dat,2000000000,ban,2 tỷ
110.0,Huyện Quốc Oai,dat,2475000000,ban,"2,475 tỷ"
,Quận Nam Từ Liêm,khac,560000000,thue,560.000.000 đ
,Quận Hà Đông,khac,590000000,thue,590.000.000 đ
,Quận Bắc Từ Liêm,khac,755000000,thue,755.000.000 đ
,Quận Bắc Từ Liêm,khac,159000000,thue,159.000.000 đ
,Huyện Sóc Sơn,khac,235000000,thue,235.000.000 đ
,Quận Bắc Từ Liêm,khac,179000000,thue,179.000.000 đ
,Quận Long Biên,khac,799000000,thue,799.000.000 đ
,Quận Cầu Giấy,khac,270000000,thue,270.000.000 đ
,Huyện Hoài Đức,khac,815000000,thue,815.000.000 đ
,Quận Cầu Giấy,khac,1199000000,thue,1.199.000.000 đ
,Quận Long Biên,khac,595000000,thue,595.000.000 đ
,Quận Long Biên,khac,215000000,thue,215.000.000 đ
,Quận Hoàng Mai,khac,339000000,thue,339.000.000 đ
,Quận Hoàng Mai,khac,482000000,thue,482.000.000 đ
,Quận Hoàn Kiếm,khac,730000000,thue,730.000.000 đ
,Quận Nam Từ Liêm,khac,239000000,thue,239.000.000 đ
,Quận Long Biên,khac,245000000,thue,245.000.000 đ
,Quận Hoàng Mai,khac,355000000,thue,355.000.000 đ
,Quận Hà Đông,khac,420000000,thue,420.000.000 đ
,Quận Cầu Giấy,khac,850000000,thue,850.000.000 đ
,Quận Nam Từ Liêm,khac,429000000,thue,429.000.000 đ
,Huyện Đan Phượng,khac,293000000,thue,293.000.000 đ
,Quận Bắc Từ Liêm,khac,495000000,thue,495.000.000 đ
,Quận Cầu Giấy,khac,315000000,thue,315.000.000 đ
,Quận Cầu Giấy,khac,1090000000,thue,1.090.000.000 đ
,Quận Bắc Từ Liêm,khac,1170000000,thue,1.170.000.000 đ
,Quận Long Biên,khac,460000000,thue,460.000.000 đ
,Quận Nam Từ Liêm,khac,215000000,thue,215.000.000 đ
,Quận Hà Đông,khac,220000000,thue,220.000.000 đ
,Quận Hai Bà Trưng,khac,350000000,thue,350.000.000 đ
,Huyện Thanh Oai,khac,65000000,thue,65.000.000 đ
,Quận Hoàn Kiếm,khac,1790000000,thue,1.790.000.000 đ
,Quận Long Biên,khac,685000000,thue,685.000.000 đ
,Quận Thanh Xuân,khac,510000000,thue,510.000.000 đ
,Quận Hà Đông,khac,450000000,thue,450.000.000 đ
,Quận Hoàng Mai,khac,2190000000,thue,2.190.000.000 đ
,Quận Nam Từ Liêm,khac,415000000,thue,415.000.000 đ
,Quận Cầu Giấy,khac,250000000,thue,250.000.000 đ
,Quận Thanh Xuân,khac,1118000000,thue,1.118.000.000 đ
,Quận Hà Đông,khac,215000000,thue,215.000.000 đ
,Quận Cầu Giấy,khac,260000000,thue,260.000.000 đ
,Quận Cầu Giấy,khac,699000000,thue,699.000.000 đ
,Quận Cầu Giấy,khac,535000000,thue,535.000.000 đ
,Quận Cầu Giấy,khac,669000000,thue,669.000.000 đ
,Quận Long Biên,khac,336666666,thue,336.666.666 đ
,Quận Cầu Giấy,khac,1110000000,thue,1.110.000.000 đ
,Quận Hà Đông,khac,295000000,thue,295.000.000 đ
,Quận Nam Từ Liêm,khac,425000000,thue,425.000.000 đ
,Huyện Đông Anh,khac,410000000,thue,410.000.000 đ
,Quận Cầu Giấy,khac,1115000000,thue,1.115.000.000 đ
,Quận Ba Đình,khac,260000000,thue,260.000.000 đ
