area,district,property_type,price,listing_type,price_ty
32.0,Quận Hai Bà Trưng,nha_pho,10999999999,ban,10.999999999
40.0,Quận Thanh Xuân,nha_pho,7500000000,ban,7.5
25.0,Quận Hai Bà Trưng,nha_pho,6100000000,ban,6.1
82.0,Quận Hai Bà Trưng,nha_pho,15500000000,ban,15.5
31.5,Quận Đống Đa,nha_pho,9500000000,ban,9.5
60.0,Quận Đống Đa,nha_pho,11450000000,ban,11.45
100.0,Quận Hai Bà Trưng,nha_pho,25400000000,ban,25.4
54.0,Quận Đống Đa,nha_pho,15600000000,ban,15.6
34.0,Huyện Hoài Đức,nha_pho,5250000000,ban,5.25
46.0,Quận Hà Đông,nha_pho,5600000000,ban,5.6
33.0,Quận Long Biên,nha_pho,8300000000,ban,8.3
55.0,Quận Long Biên,nha_pho,14900000000,ban,14.9
33.0,Quận Hoàng Mai,nha_pho,6500000000,ban,6.5
34.0,Quận Long Biên,nha_pho,14750000000,ban,14.75
160.0,Quận Hoàng Mai,nha_pho,46000000000,ban,46.0
24.0,Quận Thanh Xuân,nha_pho,6900000000,ban,6.9
55.0,Quận Long Biên,nha_pho,12600000000,ban,12.6
170.5,Huyện Hoài Đức,nha_pho,1000000000,ban,1.0
33.0,Quận Hà Đông,nha_pho,8000000000,ban,8.0
106.0,Quận Long Biên,nha_pho,12200000000,ban,12.2
45.0,Quận Hai Bà Trưng,nha_pho,8200000000,ban,8.2
35.0,Quận Long Biên,nha_pho,11800000000,ban,11.8
50.0,Quận Hà Đông,nha_pho,9800000000,ban,9.8
38.0,Quận Long Biên,nha_pho,11800000000,ban,11.8
30.0,Quận Long Biên,nha_pho,6300000000,ban,6.3
50.0,Quận Long Biên,nha_pho,10500000000,ban,10.5
50.0,Quận Long Biên,nha_pho,11000000000,ban,11.0
50.0,Quận Nam Từ Liêm,nha_pho,13200000000,ban,13.2
52.0,Quận Long Biên,nha_pho,14000000000,ban,14.0
45.0,Quận Nam Từ Liêm,nha_pho,13800000000,ban,13.8
66.0,Quận Bắc Từ Liêm,chung_cu,9800000000,ban,9.8
210.0,Quận Long Biên,nha_pho,69000000000,ban,69.0
40.0,Quận Hà Đông,nha_pho,7600000000,ban,7.6
34.0,Quận Hà Đông,nha_pho,3600000000,ban,3.6
60.0,Quận Long Biên,nha_pho,10000000000,ban,10.0
36.0,Quận Đống Đa,nha_pho,9500000000,ban,9.5
50.0,Quận Hoàng Mai,nha_pho,11500000000,ban,11.5
45.0,Quận Hai Bà Trưng,nha_pho,12500000000,ban,12.5
32.7999,Quận Hai Bà Trưng,nha_pho,7400000000,ban,7.4
35.0,Quận Long Biên,nha_pho,6000000000,ban,6.0
73.0,Quận Tây Hồ,nha_pho,25900000000,ban,25.9
62.0,Quận Đống Đa,chung_cu,10800000000,ban,10.8
26.0,Quận Đống Đa,nha_pho,5150000000,ban,5.15
55.0,Quận Hai Bà Trưng,nha_pho,9100000000,ban,9.1
240.0,Quận Thanh Xuân,biet_thu,88000000000,ban,88.0
38.0,Quận Long Biên,nha_pho,6000000000,ban,6.0
150.0,Quận Tây Hồ,nha_pho,150000000000,ban,150.0
588.0,Huyện Chương Mỹ,nha_pho,10584000000,ban,10.584
49.0,Quận Đống Đa,nha_pho,9300000000,ban,9.3
40.0,Quận Long Biên,nha_pho,7000000000,ban,7.0
32.0,Huyện Hoài Đức,nha_pho,5900000000,ban,5.9
65.0,Quận Thanh Xuân,chung_cu,11000000000,ban,11.0
47.0,Quận Cầu Giấy,nha_pho,15000000000,ban,15.0
40.0,Quận Thanh Xuân,nha_pho,6900000000,ban,6.9
31.0,Quận Hoàng Mai,nha_pho,6666666666,ban,6.666666666
29.0,Quận Đống Đa,nha_pho,5250000000,ban,5.25
37.0,Quận Thanh Xuân,nha_pho,7000000000,ban,7.0
35.0,Quận Hoàng Mai,nha_pho,8990000000,ban,8.99
102.0,Quận Cầu Giấy,nha_pho,53500000000,ban,53.5
30.8999,Huyện Thanh Oai,nha_pho,2700000000,ban,2.7
58.0,Quận Tây Hồ,nha_pho,15300000000,ban,15.3
44.0,Quận Long Biên,nha_pho,9500000000,ban,9.5
45.0,Quận Thanh Xuân,nha_pho,8960000000,ban,8.96
71.9,Quận Đống Đa,nha_pho,23500000000,ban,23.5
35.0,Quận Hà Đông,nha_pho,5999999999,ban,5.999999999
40.0,Quận Tây Hồ,nha_pho,10000000000,ban,10.0
32.0,Quận Nam Từ Liêm,nha_pho,8395000000,ban,8.395
38.0,Quận Nam Từ Liêm,nha_pho,8200000000,ban,8.2
40.0999,Huyện Gia Lâm,nha_pho,6300000000,ban,6.3
42.0,Quận Đống Đa,nha_pho,7900000000,ban,7.9
33.7,Quận Hà Đông,nha_pho,6000000000,ban,6.0
46.0,Quận Hai Bà Trưng,nha_pho,9000000000,ban,9.0
45.0,Quận Thanh Xuân,nha_pho,8500000000,ban,8.5
37.0,Quận Long Biên,nha_pho,7450000000,ban,7.45
33.0,Quận Đống Đa,nha_pho,8200000000,ban,8.2
45.0,Quận Thanh Xuân,nha_pho,7800000000,ban,7.8
32.0,Quận Hai Bà Trưng,nha_pho,2800000000,ban,2.8
158.0,Quận Hoàng Mai,nha_pho,7000000000,ban,7.0
30.0,Quận Hai Bà Trưng,nha_pho,6300000000,ban,6.3
44.0,Quận Cầu Giấy,nha_pho,18900000000,ban,18.9
43.0,Quận Thanh Xuân,nha_pho,7800000000,ban,7.8
30.0,Quận Hai Bà Trưng,nha_pho,5800000000,ban,5.8
45.0,Quận Thanh Xuân,nha_pho,17500000000,ban,17.5
38.0,Quận Nam Từ Liêm,nha_pho,6500000000,ban,6.5
47.0,Quận Hai Bà Trưng,nha_pho,9900000000,ban,9.9
360.0,Huyện Đông Anh,dat,13000000000,ban,13.0
21.0,Quận Hai Bà Trưng,nha_pho,6000000000,ban,6.0
35.0,Quận Hoàng Mai,nha_pho,6800000000,ban,6.8
31.0,Huyện Hoài Đức,nha_pho,3500000000,ban,3.5
52.0,Quận Hai Bà Trưng,nha_pho,9560000000,ban,9.56
52.0,Quận Long Biên,nha_pho,7000000000,ban,7.0
50.0,Huyện Gia Lâm,nha_pho,10900000000,ban,10.9
62.0,Quận Hai Bà Trưng,nha_pho,14400000000,ban,14.4
32.0,Quận Thanh Xuân,nha_pho,7000000000,ban,7.0
105.0,Quận Long Biên,nha_pho,11000000000,ban,11.0
33.0,Quận Đống Đa,nha_pho,8000000000,ban,8.0
130.0,Quận Hai Bà Trưng,nha_pho,59000000000,ban,59.0
35.0,Quận Hai Bà Trưng,nha_pho,10800000000,ban,10.8
19.0,Quận Đống Đa,nha_pho,3950000000,ban,3.95
47.0,Quận Hà Đông,nha_pho,12690000000,ban,12.69
42.0,Quận Cầu Giấy,nha_pho,16500000000,ban,16.5
35.0,Quận Hai Bà Trưng,nha_pho,8500000000,ban,8.5
45.0,Quận Nam Từ Liêm,nha_pho,8800000000,ban,8.8
