property_type,district,area_text,bedrooms,bathrooms,price_text,posted_at,price
nha_pho,Quận Long Biên,44 m2,4,4,3 tỷ 300 triệu,Hôm nay,3300000000.0
nha_mat_pho,Quận Thanh Xuân,75 m2,5,4,20 tỷ,Hôm nay,20000000000.0
nha_pho,Quận Long Biên,50 m2,4,3,5 tỷ 750 triệu,Hôm nay,5750000000.0
nha_mat_pho,Quận Thanh Xuân,30 m2,2,3,9 tỷ,Hôm nay,9000000000.0
nha_pho,Quận Long Biên,32 m2,3,3,3 tỷ 280 triệu,Hôm nay,3280000000.0
nha_pho,Quận Thanh Xuân,36 m2,4,4,7 tỷ 950 triệu,Hôm nay,7950000000.0
nha_pho,Quận Long Biên,40 m2,3,4,4 tỷ 350 triệu,Hôm nay,4350000000.0
nha_pho,Quận Thanh Xuân,42 m2,5,5,9 tỷ 500 triệu,Hôm nay,9500000000.0
nha_pho,Huyện Gia Lâm,33 m2,3,3,2 tỷ 450 triệu,Hôm nay,2450000000.0
nha_pho,Quận Thanh Xuân,32 m2,3,3,7 tỷ 950 triệu,Hôm nay,7950000000.0
nha_pho,Quận Long Biên,47 m2,3,4,6 tỷ 250 triệu,Hôm nay,6250000000.0
dat,Quận Long Biên,60 m2,0,0,6 tỷ 300 triệu,Hôm nay,6300000000.0
nha_pho,Quận Long Biên,31 m2,3,4,3 tỷ 250 triệu,Hôm nay,3250000000.0
nha_pho,Quận Long Biên,31 m2,3,2,2 tỷ 850 triệu,Hôm nay,2850000000.0
nha_pho,Quận Long Biên,32 m2,3,4,5 tỷ 150 triệu,Hôm nay,5150000000.0
nha_pho,Quận Long Biên,40 m2,4,5,7 tỷ 680 triệu,Hôm nay,7680000000.0
nha_pho,Quận Long Biên,31 m2,3,2,2 tỷ 600 triệu,Hôm nay,2600000000.0
nha_pho,Quận Long Biên,32 m2,3,4,3 tỷ 250 triệu,Hôm nay,3250000000.0
nha_pho,Quận Long Biên,38 m2,3,2,2 tỷ 700 triệu,Hôm nay,2700000000.0
nha_pho,Quận Long Biên,33 m2,3,2,2 tỷ 700 triệu,Hôm nay,2700000000.0
nha_pho,Quận Long Biên,42 m2,4,4,3 tỷ 480 triệu,Hôm nay,3480000000.0
nha_pho,Quận Long Biên,33 m2,3,4,2 tỷ 550 triệu,Hôm nay,2550000000.0
nha_pho,Quận Long Biên,40 m2,0,0,2 tỷ 650 triệu,Hôm nay,2650000000.0
nha_pho,Quận Long Biên,40 m2,0,0,1 tỷ 680 triệu,Hôm nay,1680000000.0
nha_pho,Quận Long Biên,37 m2,2,1,2 tỷ 880 triệu,Hôm nay,2880000000.0
